date,close_aluminum,close_copper,close_freight,close_gas,close_oil,pct_change_aluminum,pct_change_copper,pct_change_freight,pct_change_gas,pct_change_oil,rolling_7d_avg_aluminum,rolling_7d_avg_copper,rolling_7d_avg_freight,rolling_7d_avg_gas,rolling_7d_avg_oil,rolling_7d_std_aluminum,rolling_7d_std_copper,rolling_7d_std_freight,rolling_7d_std_gas,rolling_7d_std_oil,volatility_flag_aluminum,volatility_flag_copper,volatility_flag_freight,volatility_flag_gas,volatility_flag_oil,avg_urgency,max_urgency,article_count,avg_sentiment,max_sentiment,avg_geo_risk,max_geo_risk,critical_countries,fetched_at
2026-03-09,3292.0,5.8005,10.26,3.12,94.77,0.0,0.0,0.0,0.0,0.0,3292.0,5.8005,10.26,3.12,94.77,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-10,3322.0,5.904,10.23,3.02,83.45,0.9113,1.7843,-0.2924,-3.2051,-11.9447,3307.0,5.8522,10.245,3.07,89.11,21.2132,0.0732,0.0212,0.0707,8.0044,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-11,3369.5,5.8455,10.7,3.209,87.25,1.4299,-0.9909,4.5943,6.2583,4.5536,3327.8333,5.85,10.3967,3.1163,88.49,39.0779,0.0519,0.2631,0.0946,5.761,False,False,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-12,3464.0,5.8245,10.4,3.233,95.73,2.8046,-0.3592,-2.8037,0.7479,9.7192,3361.875,5.8436,10.3975,3.1455,90.3,75.1891,0.0442,0.2148,0.0968,5.9355,True,False,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-13,3383.25,5.7145,10.49,3.131,98.71,-2.3311,-1.8886,0.8654,-3.155,3.1129,3366.15,5.8178,10.416,3.1426,91.982,65.8136,0.0693,0.1906,0.084,6.3693,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-16,3289.5,5.7905,10.67,3.023,93.5,-2.771,1.33,1.7159,-3.4494,-5.2781,3353.375,5.8133,10.4583,3.1227,92.235,66.6659,0.063,0.1995,0.0896,5.7305,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-17,3291.5,5.7265,10.43,3.033,96.21,0.0608,-1.1053,-2.2493,0.3308,2.8984,3344.5357,5.8009,10.4543,3.1099,92.8029,65.1962,0.0662,0.1825,0.0886,5.4427,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-18,3282.25,5.554,10.7,3.065,96.32,-0.281,-3.0123,2.5887,1.0551,0.1143,3343.1429,5.7656,10.5171,3.102,93.0243,66.5948,0.1144,0.1802,0.0899,5.5662,False,False,False,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-19,3119.75,5.433,10.02,3.166,96.14,-4.9509,-2.1786,-6.3551,3.2953,-0.1869,3314.25,5.6984,10.4871,3.1229,94.8371,108.1843,0.1519,0.2426,0.0845,3.6726,True,True,True,True,True,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
2026-03-20,3102.0,5.3425,10.01,3.095,98.32,-0.569,-1.6657,-0.0998,-2.2426,2.2675,3276.0357,5.6265,10.3886,3.1066,96.4186,130.3829,0.1858,0.2791,0.0757,1.7315,True,True,True,True,False,0.0,0.0,0.0,0.0,0.0,64.37777777777778,100.0,2,2026-04-06 10:13:30.544074
